district,electorate,ballot_papers_issued,ballot_papers_rejected,seats,id1,id2
Wolds Weighton,12166,13996,27,3,00FBPF,E05001712
Willerby and Kirk Ella,11019,14105,64,3,00FBPE,E05001711
Beverley Rural,11441,13676,34,3,00FBND,E05001687
Bridlington Central and Old Town,8549,4970,37,2,00FBNE,E05001688
Bridlington North,11677,10839,128,3,00FBNF,E05001689
Bridlington South,11381,8636,57,3,00FBNG,E05001690
Cottingham North,7316,5886,44,2,00FBNH,E05001691
Cottingham South,7338,6175,40,2,00FBNJ,E05001692
Dale,13605,16054,34,3,00FBNK,E05001693
Driffield and Rural,12045,10949,49,3,00FBNL,E05001694
East Wolds and Coastal,11797,12455,42,3,00FBNM,E05001695
Goole North,7867,4386,54,2,00FBNN,E05001696
Goole South,6861,3335,25,2,00FBNP,E05001697
Hessle,11651,11741,46,3,00FBNQ,E05001698
Howden,3930,1739,12,1,00FBNR,E05001699
Howdenshire,11985,13056,53,3,00FBNS,E05001700
Mid Holderness,11339,11610,47,3,00FBNT,E05001701
Minster and Woodmansey,12289,13232,50,3,00FBNU,E05001702
North Holderness,8350,5700,29,2,00FBNW,E05001703
Pocklington Provincial,12820,14193,31,3,00FBNX,E05001704
St Marys,12853,16763,55,3,00FBNY,E05001705
"Snaith, Airmyn, Rawcliffe and Marshland",7903,5670,45,2,00FBNZ,E05001706
South East Holderness,11869,11285,42,3,00FBPA,E05001707
South Hunsley,7903,7219,29,2,00FBPB,E05001708
South West Holderness,11634,10552,33,3,00FBPC,E05001709
Tranby,7768,6318,19,2,00FBPD,E05001710
