district,electorate,ballot_papers_issued,ballot_papers_rejected,seats
Avenue,9654,3277,6,1
Beverley,6780,2524,10,1
Boothferry,9603,2733,5,1
Bricknell,6550,2155,9,1
Derringham,9016,2381,3,1
Drypool,9595,2909,13,1
Holderness,10152,3069,25,1
Ings,9448,2642,4,1
Kings Park,7704,2017,10,1
Longhill,8712,1878,19,1
Marfleet,9235,1734,12,1
Myton,9935,1819,19,1
Newington,7930,1409,8,1
Newland,7983,1536,19,1
Orchard Park and Greenwood,9183,1636,10,1
Pickering,9030,2837,10,1
Southcoates East,5831,1163,18,1
Southcoates West,5990,1323,4,1
St Andrews,5766,1053,15,1
Sutton,9677,2714,12,1
