ward,electorate,ballot papers issued,ballot papers rejected
Avenue,9818,3476,39
Boothferry,9610,2934,14
Bransholme East,7110,1293,30
Bransholme West,6137,1257,6
Bricknell,6525,2443,7
Derringham,9004,2546,12
Drypool,9702,3107,21
Holderness,10185,3410,7
Ings,9448,2655,10
Longhill,8741,2033,1
Marfleet,9404,3476,7
Myton,10270,2251,9
Newington,8198,1618,15
Orchard Park and Greenwood,9400,2130,4
Pickering,9101,2804,11
St Andrew's,5850,1262,3
Southcoates East,5961,1389,4
Southcoates West,5929,1468,3
Sutton,9610,2879,13
University,7255,1774,3
