ward,electorate,ballot papers issued,ballot papers rejected,seats
Avenue,9818,3476,39,1
Boothferry,9610,2934,14,1
Bransholme East,7110,1293,30,1
Bransholme West,6137,1257,6,1
Bricknell,6525,2443,7,1
Derringham,9004,2546,12,1
Drypool,9702,3107,21,1
Holderness,10185,3410,7,1
Ings,9448,2655,10,1
Longhill,8741,2033,1,1
Marfleet,9404,3476,7,2
Myton,10270,2251,9,1
Newington,8198,1618,15,1
Orchard Park and Greenwood,9400,2130,4,1
Pickering,9101,2804,11,1
St Andrews,5850,1262,3,1
Southcoates East,5961,1389,4,1
Southcoates West,5929,1468,3,1
Sutton,9610,2879,13,1
University,7255,1774,3,1
